dpt,flux,tonnage,annee,mois
11,ECRAN,45.922,2012,3
11,GEMHF,47.017,2012,3
11,GEMF,19.438,2012,3
11,PAM,20.862,2012,3
11,ECRAN,73.486,2012,3
11,GEMHF,134.353,2012,3
11,GEMF,57.743,2012,3
11,LAMPE,0.230,2011,3
11,LAMPE,5.816,2011,3
11,LAMPE,0.000,2011,3
11,LAMPE,7.964,2011,3
11,PAM,1.740,2012,3
11,GEMHF,0.051,2012,3
11,GEMF,0.267,2012,3
11,PAM,314.040,2012,3
11,GEMHF,302.654,2012,3
11,GEMF,270.363,2012,3
11,ECRAN,378.263,2012,3
11,GEMHF,145.117,2011,3
11,GEMHF,0.218,2011,3
11,PAM,194.883,2011,3
11,PAM,1.184,2011,3
11,PAM,45.846,2012,2
11,ECRAN,46.357,2012,2
11,GEMHF,37.344,2012,2
11,GEMF,17.404,2012,2
11,PAM,16.123,2012,2
11,ECRAN,52.272,2012,2
11,GEMHF,144.051,2012,2
11,GEMF,55.744,2012,2
11,LAMPE,0.153,2012,3
11,LAMPE,6.425,2012,3
11,LAMPE,0.000,2012,3
11,LAMPE,11.448,2012,3
11,ECRAN,496.700,2012,3
11,GEMF,330.550,2012,3
11,GEMHF,450.310,2012,3
11,PAM,377.310,2012,3
11,ECRAN,0.000,2012,3
11,GEMF,0.170,2012,3
11,GEMHF,0.620,2012,3
11,PAM,4.720,2012,3
12,ND,61.000,2010,2
12,ND,1976.000,2010,2
12,ND,1013.000,2010,2
12,ND,0.000,2010,2
12,ND,3.001,2010,2
12,ND,6.507,2010,2
12,ND,2.550,2010,2
12,ECRAN,1.633,2011,3
12,LAMPE,3.897,2010,3
12,LAMPE,4.628,2010,3
12,LAMPE,0.000,2010,3
12,LAMPE,3.402,2010,3
12,PAM,3.158,2012,3
12,ECRAN,1.006,2012,3
12,PAM,0.000,2011,3
12,PAM,17.206,2011,3
12,PAM,405.305,2011,3
12,PAM,22.390,2011,3
12,GEMHF,0.000,2011,3
12,GEMHF,111.595,2011,3
12,GEMHF,807.340,2011,3
12,GEMHF,27.265,2011,3
12,GEMF,0.000,2011,3
12,GEMF,47.278,2011,3
12,GEMF,361.859,2011,3
12,GEMF,10.284,2011,3
12,ECRAN,0.000,2011,3
12,ECRAN,40.847,2011,3
12,ECRAN,404.794,2011,3
12,ECRAN,21.061,2011,3
12,PAM,28.112,2012,3
12,ECRAN,29.507,2012,3
12,GEMHF,32.215,2012,3
12,GEMF,9.729,2012,3
12,PAM,455.995,2012,3
12,ECRAN,469.660,2012,3
12,GEMHF,836.383,2012,3
12,GEMF,372.825,2012,3
12,PAM,25.959,2012,3
12,ECRAN,50.121,2012,3
12,GEMHF,136.927,2012,3
12,GEMF,61.139,2012,3
12,LAMPE,5.424,2011,3
12,LAMPE,3.604,2011,3
12,LAMPE,0.000,2011,3
12,LAMPE,3.278,2011,3
12,PAM,6.907,2012,3
12,ECRAN,1.749,2012,3
12,PAM,7.058,2011,3
12,PAM,25.823,2012,2
12,ECRAN,34.152,2012,2
12,GEMHF,27.094,2012,2
12,GEMF,10.476,2012,2
12,PAM,484.486,2012,2
12,ECRAN,584.947,2012,2
12,GEMHF,847.377,2012,2
12,GEMF,411.365,2012,2
12,PAM,44.541,2012,2
12,ECRAN,89.447,2012,2
12,GEMHF,158.941,2012,2
12,GEMF,81.323,2012,2
12,LAMPE,5.936,2012,3
12,LAMPE,5.559,2012,3
12,LAMPE,0.000,2012,3
12,LAMPE,4.019,2012,3
12,ECRAN,3.200,2012,3
12,GEMF,0.000,2012,3
12,GEMHF,0.000,2012,3
12,PAM,10.720,2012,3
13,ND,56.000,2010,2
13,ND,0.500,2010,2
13,ND,3201.000,2010,2
13,ND,2822.000,2010,2
13,ND,328.219,2010,2
13,ND,513.605,2010,2
13,ND,118.613,2010,2
13,ND,194.534,2010,2
13,ND,773.369,2011,3
