Siren_Siret;Campagne;Departement;Flux;Origine;Tonnage;Date_creation;Date_modification
"48345043300000";"CMD 2008";"79";"ND";"ND";"1068.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"78";"ND";"ND";"3752.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"77";"ND";"ND";"8829.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"76";"ND";"ND";"6179.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"75";"ND";"ND";"1248.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"74";"ND";"ND";"3245.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"73";"ND";"ND";"2266.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"72";"ND";"ND";"1054.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"71";"ND";"ND";"2300.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"70";"ND";"ND";"299.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"69";"ND";"ND";"3939.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"68";"ND";"ND";"3333.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"67";"ND";"ND";"5614.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"66";"ND";"ND";"685.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"65";"ND";"ND";"339.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"64";"ND";"ND";"1941.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"63";"ND";"ND";"3562.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"62";"ND";"ND";"4124.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"61";"ND";"ND";"940.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"60";"ND";"ND";"2125.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"59";"ND";"ND";"9233.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"58";"ND";"ND";"1015.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"57";"ND";"ND";"3864.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"56";"ND";"ND";"1506.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"55";"ND";"ND";"558.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"54";"ND";"ND";"3608.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"53";"ND";"ND";"332.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"52";"ND";"ND";"702.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"51";"ND";"ND";"1156.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"50";"ND";"ND";"1116.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"49";"ND";"ND";"3402.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"48";"ND";"ND";"78.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"47";"ND";"ND";"1591.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"46";"ND";"ND";"777.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"45";"ND";"ND";"1317.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"44";"ND";"ND";"5972.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"43";"ND";"ND";"824.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"42";"ND";"ND";"3542.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"41";"ND";"ND";"466.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"40";"ND";"ND";"1906.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"39";"ND";"ND";"942.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"38";"ND";"ND";"1802.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"37";"ND";"ND";"3087.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"36";"ND";"ND";"625.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"35";"ND";"ND";"6634.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"34";"ND";"ND";"1616.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"33";"ND";"ND";"2074.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"32";"ND";"ND";"1093.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"31";"ND";"ND";"4035.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"30";"ND";"ND";"2953.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"29";"ND";"ND";"3643.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"28";"ND";"ND";"1410.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"27";"ND";"ND";"414.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
